id,file,line,occurrences,priority,kind,quote,reason,replacement
E001,thesis.html,403,403,Media,Estilo,A Strategic Framework for Media Growth in the Age of Fragmented Attention,Subtítulo intercambiable con muchas publicaciones de estrategia; no expresa la propuesta concreta.,How media can build a habit of return across the places people already use.
E002,thesis.html,597,597,Media,Estilo,This section is the honest accounting of intellectual debts and the precise points of departure.,La honestidad se anuncia en vez de mostrarse mediante atribución; quitar el autoelogio.,"Here is what ZMOI and CMI borrow from earlier work, and where I propose extending it."
E003,thesis.html,980,980,Alta,Argumento,One experiment answers that.,"El cierre convierte una prueba inicial en respuesta definitiva, aunque se propone comparar solo dos eventos.",This comparison would provide an initial test of the claim.
E004,thesis.html,916,916,Alta,Coherencia,"If a prediction fails, the response is not to abandon the framework but to diagnose which layer is underperforming, adjust, and retest.",Promete kill criteria pero cada resultado adverso se atribuye a la implementación. Separar diagnóstico operativo de evidencia contra la hipótesis.,A failed prediction should prompt a review of both the implementation and the claim. Retesting should not rule out revising or rejecting the framework.
E005,thesis.html,1129,1129,Alta,Argumento,and category leadership follows.,Promesa de resultado que excede el carácter propuesto del modelo.,Sustained presence before opinions form is the growth hypothesis CMI asks media teams to test. [Reemplaza la oración completa de One-line thesis.]
E006,thesis.html,555,555,Media,Redundancia,CMI is not a content strategy; it is a presence architecture.,La misma oposición vuelve en los destacados y en la conclusión. Definir una vez; después usar el término sin reintroducirlo.,CMI organizes repeated encounters with an editorial perspective across the channels a reader uses.
E007,paper-01.html,276,276,Alta,Estilo,In the current landscape of product development,Apertura de plantilla: ubica una época sin aportar una observación.,We can build faster than we can explain what we are building. [Reemplaza la primera oración.]
E008,paper-01.html,295,295,Media,Estilo,"stable, coherent, and resonant thesis",Tres calificativos abstractos; el lector necesita saber qué debe quedar claro.,clear account of who the product is for and what it helps them do
E009,paper-01.html,296,296,Alta,Estilo,they are manifesting a specific vision of the future,Grandilocuencia que tapa una consecuencia de producto más útil.,they know what to build and what to leave out
E010,paper-01.html,318,318,Media,Estilo,We are not merely shipping features; we are staking a claim about how the world should work.,Oposición épica innecesaria en un argumento sobre claridad.,The features should make the product’s purpose clear to the people using it.
E011,paper-01.html,343,343,Alta,Estilo,That is the work. Everything else is execution.,Remate totalizante: resta valor a la ejecución y repite la cadencia de otros finales.,Eliminar. El párrafo anterior ya termina con la decisión de acordar la historia antes de construir.
E012,paper-02.html,274,274,Media,Estilo,The framework is sound. The logic is clean.,Dos aprobaciones vagas antes de llegar al problema.,Eliminar ambas oraciones; pasar de la descripción de PMF al problema de reconocimiento.
E013,paper-02.html,318,318,Alta,Argumento,Not approximately. Exactly.,La precisión absoluta no está definida y convierte una idea útil en una exigencia imposible de evaluar tal como está escrita.,Eliminar este remate y sustituir “confirms exactly” por “supports in actual use”.
E014,paper-02.html,338,338,Media,Estilo,The Operating Narrative is where strategy becomes engineering.,Frase de conferencia; conviene decir qué cambia en las decisiones.,The Operating Narrative sets constraints the product team can use when choosing features.
E015,paper-02.html,361,361,Media,Estilo,the users who were always yours to lose,Dramatización posesiva; presupone que esos usuarios ya pertenecían al producto.,the users who need the product but cannot yet see how it helps them
